Ticker,Headline,Sentiment,Score
AAPL,Jim Cramer Questions Apple Inc. (AAPL) Tariff Relief: ‘Nothing Means Anything Anymore’ - Yahoo Finance,neutral,0
AAPL,Apple: Earnings Could Deliver A Big Upset As International Business Tumbles (NASDAQ:AAPL) - Seeking Alpha,negative,-1
AAPL,Apple Is Going Head-to-Head With Elon Musk’s SpaceX. Should You Buy or Sell AAPL Stock as the Battle Rages On? - Barchart.com,neutral,0
AAPL,Is Apple Inc. (AAPL) the Best Stock to Buy and Hold for 20 Years? - Yahoo Finance,neutral,0
AAPL,AAPL Quantitative Stock Analysis - Nasdaq,neutral,0
AAPL,Apple Earnings in Focus! Can AAPL Stock Withstand the Tariff Storm? - TipRanks,neutral,0
AAPL,Apple Inc. (AAPL) Stock: Inside the Race to Shift iPhone Production from China to India - CoinCentral,neutral,0
AAPL,INVESTIGATION ALERT (NASDAQ: AAPL): DiCello Levitt LLP Is - GlobeNewswire,neutral,0
AAPL,Apple (AAPL) Stock Moves -1.94%: What You Should Know - Nasdaq,neutral,0
AAPL,Apple (AAPL) Target Slashed to $141: ‘No Easy Answers’ as Trade Tensions and AI Lag Take Toll - Yahoo Finance,negative,-1
AAPL,Apple Stock (NASDAQ:AAPL) Notches Up Despite Price Target Cuts - TipRanks,positive,1
AAPL,Apple Inc. (AAPL): Among Stocks That Could 10X Over the Next 2 Years - Yahoo Finance,neutral,0
AAPL,Apple (AAPL) Stock Moves -1.94%: What You Should Know - Yahoo Finance,neutral,0
AAPL,"Apple (AAPL) Stock Trades Up, Here Is Why - Yahoo Finance",neutral,0
AAPL,"Analyst Explains Threats to Apple (AAPL), Says It ‘Fumbled’ AI Launch - Yahoo Finance",neutral,0
AAPL,"AAPL May Have More Problems Ahead, Expert Warns - Yahoo Finance",negative,-1
AAPL,Sell Signal on AAPL! Analyst Warns of an Alarming 30% Drop in Apple Stock - TipRanks,negative,-1
AAPL,"AAPL Stock Faces Analyst Downgrades On Looming Tariffs, Supply Chain Pressures: 'A Lose-Lose Choice' - Benzinga",negative,-1
AAPL,"AAPL, NVDA, TSLA: China Denies It Has Entered Trade Talks with U.S. - The Globe and Mail",neutral,0
AAPL,"5 stocks to watch on Wednesday: AAPL, META, BA, T and PM (BA:NYSE) - Seeking Alpha",neutral,0
AAPL,Is Apple Inc. (AAPL) the Best Fundamental Stock to Buy According to Billionaires? - Yahoo Finance,neutral,0
AAPL,Apple (AAPL) Reports Next Week: Wall Street Expects Earnings Growth - Nasdaq,positive,1
AAPL,Apple (NasdaqGS:AAPL) Enables Seamless Philz Coffee Orders With App Clips Integration - Yahoo Finance,neutral,0
AAPL,Why Apple (AAPL) Stock Is Up Today - Yahoo Finance,neutral,0
AAPL,Why Apple (AAPL) Stock Is Trading Lower Today - Yahoo Finance,negative,-1
AAPL,Apple FQ2 Preview: Buy And Forget At $200 (AAPL) - Seeking Alpha,neutral,0
AAPL,Apple (AAPL) Faces 28% EPS Hit Amid Tariff Fears Despite AI Rollout - Yahoo Finance,negative,-1
AAPL,Apple (AAPL) Stock: Trade War Concerns Impact iPhone Manufacturer - CoinCentral,negative,-1
AAPL,Apple Stock: The Bottom Is Yet To Come (NASDAQ:AAPL) - Seeking Alpha,neutral,0
AAPL,How Stock Options Traders See Apple’s (AAPL) Death Cross - Yahoo Finance,neutral,0
AAPL,"Apple (AAPL) Stock Trades Down, Here Is Why - Yahoo Finance",negative,-1
AAPL,"Apple’s (AAPL) Outlook Is Positive, Goldman Executive Says - Yahoo Finance",positive,1
AAPL,Apple's Next Chapter: Why Services And AI Could Drive The Stock Higher (NASDAQ:AAPL) - Seeking Alpha,neutral,0
AAPL,Ultimate Insider Marjorie Taylor Greene’s Top Stock Picks: Apple Inc. (AAPL) - Insider Monkey,neutral,0
AAPL,Why Buying The Dip on Apple Stock (AAPL) is a Bad Idea - TipRanks,negative,-1
AAPL,(AAPL) Strategic Investment Report (AAPL:CA) - news.stocktradersdaily.com,neutral,0
AAPL,Apple (AAPL) Sees Strong Consumer Interest and Upgrade Intentions | AAPL Stock News - GuruFocus,positive,1
AAPL,Is Apple Inc. (AAPL) the Best Metaverse Stock to Invest in? - Yahoo Finance,neutral,0
AAPL,Trump’s Cuts Tariffs on Phones: How Much Could Apple (Nasdaq: AAPL) Stock Soar On Monday? - AOL.com,neutral,0
AAPL,Apple (AAPL) Laps the Stock Market: Here's Why - Nasdaq,neutral,0
AAPL,Analysts Keeping the Faith on Apple Stock (AAPL) Despite Tariff Turmoil - TipRanks,neutral,0
AAPL,Apple Stock (AAPL) Wins Jefferies Upgrade on Hopes of Tariff Exemption - TipRanks,positive,1
AAPL,Trump's Cuts Tariffs on Phones: How Much Could Apple (Nasdaq: AAPL) Stock Soar On Monday? - 24/7 Wall St.,neutral,0
AAPL,Apple Stock (AAPL) Sinks after BofA Cuts Price Target amid New Tariffs - TipRanks,negative,-1
AAPL,Jim Cramer Warns Apple (AAPL) Is ‘Caught in the Crossfire’ of U.S.-China Tariff War - Yahoo Finance,negative,-1
AAPL,Apple (AAPL) Gets a Pass on Tariffs – $500 Billion U.S. Investment Could Be Its Saving Grace - Yahoo Finance,neutral,0
AAPL,Is Apple Inc. (AAPL) The Best American Tech Stock to Buy Now? - Yahoo Finance,neutral,0
AAPL,Is Apple Inc. (AAPL) The Mega Cap Stock Gaining Bullish Momentum This Week? - Yahoo Finance,neutral,0
AAPL,3 Reasons To Avoid Apple Stock (NASDAQ:AAPL) - Seeking Alpha,neutral,0
AAPL,Is Apple Inc. (NASDAQ:AAPL) the Best NASDAQ Stock to Buy So Far in 2025? - Yahoo Finance,neutral,0
AAPL,Is Apple Inc. (NASDAQ:AAPL) a NASDAQ Stock with the Highest Upside Potential? - Yahoo Finance,neutral,0
AAPL,"‘Earnings Could Drop by 28%,’ Says Needham about Apple Stock (AAPL) - markets.businessinsider.com",negative,-1
AAPL,Trump Tariffs Chomp AAPL Stock to Its Core - TipRanks,neutral,0
AAPL,Why Apple Inc. (AAPL) Is One of the Best Blue Chip Stocks to Buy According to Billionaires - Yahoo Finance,neutral,0
AAPL,Jim Cramer on Apple (AAPL): “What is the Most Hurt Stock? Apple. Are Those Just Fools Buying It?” - Yahoo Finance,neutral,0
AAPL,"Jim Cramer On Apple Inc. (AAPL): “Own Apple, Don’t Trade It!” - Yahoo Finance",neutral,0
AAPL,Analysts Slash Apple Stock (AAPL) Forecasts as Tariff Fears Mount - TipRanks,negative,-1
AAPL,Is Apple Inc. (AAPL) the Best Kid-Friendly Stock to Buy According to Billionaires? - Yahoo Finance,neutral,0
ADI,Analog Devices (ADI) Stock Moves -0.71%: What You Should Know - Yahoo Finance,neutral,0
ADI,Analog Devices (NasdaqGS:ADI) Establishes US$3 Billion Credit Facility - simplywall.st,positive,1
ADI,Analog Devices (ADI) Price Target Slashed by Barclays to $170 | ADI Stock News - GuruFocus,negative,-1
ADI,Is ADI Stock Still Worth Holding Despite Falling 8% in a Month? - Yahoo Finance,negative,-1
ADI,New Analyst Forecast: $ADI Given $214.0 Price Target - Nasdaq,neutral,0
ADI,Analog Devices' (NASDAQ:ADI) investors will be pleased with their favorable 77% return over the last five years - simplywall.st,positive,1
ADI,Analog Devices (ADI) Stock Jumps 4.1%: Will It Continue to Soar? - Yahoo Finance,positive,1
ADI,Morgan Stanley Adjusts Price Target for Analog Devices (ADI) Amidst Market Challenges | ADI Stock News - GuruFocus,neutral,0
ADI,"Analog Devices, Inc.'s (NASDAQ:ADI) Stock Retreats 26% But Earnings Haven't Escaped The Attention Of Investors - simplywall.st",negative,-1
