Ticker,Avg_Sentiment,Count_Positive,Count_Negative,Count_Neutral,Headlines,Category
ADI,0.1388888888888889,12,7,17,36,Portfolio
LLY,0.14606741573033707,24,11,54,89,Portfolio
MRVL,-0.07142857142857142,9,12,21,42,Portfolio
NVDA,0.07407407407407407,5,3,19,27,Portfolio
PFE,-0.20454545454545456,2,11,31,44,Portfolio
RTX,-0.008928571428571428,24,25,63,112,Portfolio
SRAD,0.20930232558139536,12,3,28,43,Portfolio
UUUU,0.14285714285714285,8,3,24,35,Portfolio
AAPL,-0.15517241379310345,5,14,39,58,Watchlist
GOOGL,0.2236842105263158,26,9,41,76,Watchlist
MSFT,-0.029411764705882353,8,10,50,68,Watchlist
PLTR,0.22807017543859648,17,4,36,57,Watchlist
TSLA,-0.0784313725490196,10,14,27,51,Watchlist
