Date,Stock_Close
1999-11-01,59.63
1999-11-02,60.0
1999-11-03,59.63
1999-11-04,56.75
1999-11-05,55.88
1999-11-08,56.25
1999-11-09,54.88
1999-11-10,53.81
1999-11-11,53.81
1999-11-12,54.0
1999-11-15,54.5
1999-11-16,56.5
1999-11-17,56.38
1999-11-18,58.44
1999-11-19,57.06
1999-11-22,54.5
1999-11-23,56.06
1999-11-24,56.13
1999-11-26,55.25
1999-11-29,54.31
1999-11-30,56.5
1999-12-01,58.06
1999-12-02,58.79
1999-12-03,60.38
1999-12-06,58.38
1999-12-07,56.13
1999-12-08,58.5
1999-12-09,59.44
1999-12-10,59.25
1999-12-13,59.36
1999-12-14,58.38
1999-12-15,58.13
1999-12-16,57.44
1999-12-17,56.38
1999-12-20,57.84
1999-12-21,58.31
1999-12-22,57.5
1999-12-23,59.56
1999-12-27,61.0
1999-12-28,64.19
1999-12-29,63.63
1999-12-30,64.13
1999-12-31,65.0
2000-01-03,62.5
2000-01-04,59.94
2000-01-05,59.38
2000-01-06,61.56
2000-01-07,64.0
2000-01-10,64.63
2000-01-11,63.13
2000-01-12,64.56
2000-01-13,65.25
2000-01-14,63.81
2000-01-18,62.75
2000-01-19,60.69
2000-01-20,59.31
2000-01-21,60.63
2000-01-24,60.0
2000-01-25,56.88
2000-01-26,57.0
2000-01-27,55.19
2000-01-28,52.25
2000-01-31,52.94
2000-02-01,53.69
2000-02-02,53.75
2000-02-03,52.94
2000-02-04,51.38
2000-02-07,51.19
2000-02-08,51.0
2000-02-09,50.63
2000-02-10,50.13
2000-02-11,48.38
2000-02-14,50.31
2000-02-15,52.44
2000-02-16,52.13
2000-02-17,54.13
2000-02-18,52.38
2000-02-22,53.5
2000-02-23,52.75
2000-02-24,50.88
2000-02-25,50.06
2000-02-28,51.06
2000-02-29,50.94
2000-03-01,50.81
2000-03-02,50.81
2000-03-03,51.81
2000-03-06,50.0
2000-03-07,50.5
2000-03-08,49.25
2000-03-09,48.06
2000-03-10,48.88
2000-03-13,49.0
2000-03-14,49.94
2000-03-15,53.88
2000-03-16,57.0
2000-03-17,54.63
2000-03-20,56.13
2000-03-21,56.75
2000-03-22,55.81
2000-03-23,58.38
2000-03-24,57.06
2000-03-27,57.44
2000-03-28,57.81
2000-03-29,57.63
2000-03-30,61.38
2000-03-31,63.19
2000-04-03,61.88
2000-04-04,63.19
2000-04-05,61.0
2000-04-06,61.5
2000-04-07,60.94
2000-04-10,64.0
2000-04-11,64.25
2000-04-12,64.25
2000-04-13,60.88
2000-04-14,56.25
2000-04-17,59.56
2000-04-18,58.06
2000-04-19,61.13
2000-04-20,64.06
2000-04-24,64.88
2000-04-25,64.56
2000-04-26,60.63
2000-04-27,62.0
2000-04-28,62.19
2000-05-01,62.0
2000-05-02,62.75
2000-05-03,61.31
2000-05-04,61.75
