Ticker,Avg_Sentiment,Count_Positive,Count_Negative,Count_Neutral,Headlines,Category
AAPL,0.8311034567698747,27,41,99,167,Watchlist
ADI,0.7998556236808116,13,11,28,52,Portfolio
GOOGL,0.8203434306999733,40,14,62,116,Watchlist
LLY,0.8141002786847261,30,15,59,104,Portfolio
MRVL,0.79409116672145,15,17,40,72,Portfolio
MSFT,0.8322439736127853,12,13,75,100,Watchlist
NVDA,0.8180145011828827,17,24,70,111,Portfolio
PFE,0.8115609576727482,11,26,57,94,Portfolio
PLTR,0.7981862708412367,33,8,75,116,Watchlist
RTX,0.8475779737035434,22,29,69,120,Portfolio
SRAD,0.8265991253512246,25,9,57,91,Portfolio
TSLA,0.8151213105197426,23,26,62,111,Watchlist
UUUU,0.7783447845528523,11,4,33,48,Portfolio
