Date,Ticker,Avg_Sentiment,Count_Positive,Count_Negative,Count_Neutral,Headlines
2025-04-24,AAPL,-0.1,5,9,26,40
2025-04-24,ADI,0.025,10,9,21,40
2025-04-24,AMZN,-0.15,7,13,20,40
2025-04-24,ARM,-0.15,6,12,22,40
2025-04-24,GOOGL,0.15,9,3,28,40
2025-04-24,LLY,0.1,10,6,24,40
2025-04-24,META,-0.25,2,12,26,40
2025-04-24,MRVL,-0.15,9,15,16,40
2025-04-24,MSFT,0.025,6,5,29,40
2025-04-24,NVDA,0.0,4,4,22,30
2025-04-24,NVMI,0.175,12,5,23,40
2025-04-24,PFE,-0.175,3,10,27,40
2025-04-24,RTX,-0.15,7,13,20,40
2025-04-24,SMCI,-0.125,9,14,17,40
2025-04-24,SOFI,0.025,9,8,23,40
2025-04-24,SRAD,0.175,12,5,23,40
2025-04-24,TSLA,-0.15,9,15,16,40
2025-04-24,UUUU,-0.125,5,10,25,40
